no,Title,Description
1,20 Min AMRAP,1-2-3-..+1 Strict HSPU
2-4-6-..+2 Pistols
3-6-9-..+3 Burpees
2,For Time,100 Pistols
3,For Time,50 Burpees
5 Rounds of
10 Push Ups + 10 Air Squats
4,5 Rounds,30 Jump Overs
20 Burpees
30 Jump Overs
2 Min Rest
5,4 RFT,40 Jump Over
40 HSPU
40 Pistols
40 Burpees
6,12 RFT,6 Burpees
6 Sit Ups
6 Jump Over
6 Push Ups
7,25 Min AMRAP,8 HSPU
8 Tuck Jumps
8,10 RFT,15 Air Squat
7 Tuck Jumps
9,For Time,30 HSPU
60 Pistols
30 HSPU
10,4 RFT,25m Bear Crawl
15 Push Ups
11,For Time,75 HSPU
EMOM 5 Burpees
12,For Time,150 Sit Ups
75 Push Ups
150 Air Squat
75 Push Ups
150 Sit Ups
13,Death by,5 Burpees
X Air Squats
X Push Ups
14,5 RFT,10 Strict HSPU
40 Pistols
15,5 RFT,1 Min Push Ups
1 Min Air Squats
1 Min Sit Ups
1 Min Pistols
1 Min Rest
16,12 Min AMRAP,50 Air Squat
30 Push Ups
15 Burpees
17,2 RFT,24 Push Ups
24 Air Squat
24 Sit Ups
24 Jumping Jacks
48s Handstand Hold
18,For Time,75 Sit Ups
75 Push Ups
75 Air Squat
75 Push Ups
75 Sit Ups
19,16 Min AMRAP,12 Burpees
24 Sit Ups
48 Air Squats
20,For Time,100 Jump Over
50 Push Ups
40 Air Squats
30 HSPU
Chipper; go back up; HSPU 1x
21,3 RFT,15 Burpees
10 HSPU
22,5 RFT,6 Strict HSPU
12 Jump Overs
23,For Time,150m Handstand Walk
24,For Time,50 Burpees
50 HSPU
50 Burpees
EMOM: 10 Air Squats
25,For Time 21-15-9-6-3,Strict HSPU
Pistols
Burpees
26,For Time,100m Handstand Walk
27,24 Min AMRAP,16 HSPU
32 Tuck Jumps
28,20 Min AMRAP,20 Lunges
25 Sit Ups
30 Air Squats
29,For Time,15-12-9-12-15 Push Ups
15-12-9-12-15 HSPU
15-12-9-12-15 Burpees
30,5 RFT,25 Air Squats
5 Strict HSPU
31,5 RFT,4 Strict HSPU
16 Lunges
16 Burpees
32,For 45 Minutes,Practice any of the following
Handstand
Handstand walk
Press To Handstand
33,For Time,50-40-30 Air Squats
100-80-60 Jump Over
34,20 Min AMRAP,2 Strict HSPU
4 Burpees
8 Pistols
35,For Time,12-9-6 Strict HSPU
12-9-6 Burpee Jump Over
36,5 RFT,10 HSPU
25 Air Squats
50 Sit Ups
37,For Time,50 HSPU
50 Pistols
25 HSPU
38,50 RFT,1 Burpee
1 Push Up
1 Jumping Jack
1 Sit Up
1 Handstand
39,10 RFT,10 Air Squat
15 Tuck Jumps
40,For Time,60 Pistols
60 Air Squats
60 Pistols
41,For Time,50 Jump Over
40 Sit Ups
30 Lunges
20 Burpees
42,For Time,50 Push Ups
100 Sit Ups
150 Air Squats
43,Find,Max Unbroken Handstand Walk
44,3 RFT,50 Lunges
15 Burpees
50 Push Ups
45,5 RFT,20 HSPU
50 Air Squats
70 Sit Ups
46,For Time,150m Shuttle Run (5m+5m)
25 Burpees
150m Shuttle Run (5m+5m)
25 Burpees
47,For Time,80-60-40-20 Sit Ups
80-60-40-20 Air Squats
48,10 RFT,5 Pistols
5 Burpees
5 Jump Over
5 HSPU
45 Sec Rest
49,For Time,10-9-8-...-2-1 Burpees
10 Push Ups
50,For Time,50m Handstand Walk
Each time you break do
5 Burpees
51,For Time,50 Jump Over
50 Push Ups
50 Air Squats
50 HSPU
Chipper; go back up; HSPU 1x
52,5 Rounds of,Max Distance Handstand Walk
53,3 RFT,30 Pistols
60 Sec Plank
54,For Time,70 Burpees
5 Rounds of
20 Push Ups
20 Air Squats
55,12 RFT,50 Air Squat
25 Push Ups
56,For Time,50-40-30-20-10 Lunges
10-20-30-40-50 Push Ups
57,5 RFT,21 Sit Ups
14 Push Ups
58,For Time,20 Jump Over Burpees
5 Rounds Of
10 Tuck Jumps + 10 Push Ups
20 Jump Over Burpees
59,10 Rounds of,Max Distance Handstand Walk
Rest as needed
60,7 Min AMRAP,4 Pistols
6 HSPUs
61,For Time,100m Shuttle Run (5m+5m)
50 Burpees
100m Shuttle Run (5m+5m)
62,For Time,400m Burpee Broad Jump
63,14 Min AMRAP,21 Jump Over
14 Push Ups
64,For Time,50 HSPU
40 Burpees
30 Pistols
65,For Time,30 Burpees
40 Pistols
50 Push Ups
60 Air Squats
66,15 Min AMRAP,7 Jump Over
7 Push Ups
67,20 Min EMOM,Min 1: 15 HSPU
Min 2: 20 Pistols
Min 3: 25 Push Ups
Min 4: Rest
