workoutName,workoutTime,workoutDetails,category,equipment
MCCLUSKEY,For Time,Three rounds\n9 Muscle-ups\n15 Burpee pull-ups\n21 Pull-ups\nRun 800 meters,Hero,PULL UP BAR
WEAVER,For Time,Four rounds\n10 L-pull-ups\n15 Push-ups\n15 Chest to bar Pull-ups\n15 Push-ups\n20 Pull-ups\n15 Push-ups,Hero,PULL UP BAR
ABBATE,For Time,Run 1 mile\n155 lbs Clean and jerk; 21 reps\nRun 800 meters\n155 lbs Clean and jerk; 21 reps\nRun 1 Mile,Hero,BARBELL
HAMMER,Each Round For Time,Five rounds\n135 lbs Power clean; 5 rep\n135 lbs Front squat; 10 rep\n135 lbs Jerk; 5 rep\n20 Pull-up\nRest 90 seconds between each rounds,Hero,"BARBELL, PULL UP BAR"
MOORE,AMRAP: 20 Min,15 ft Rope Climb; 1 ascent\nRun 400 meters\nMax rep Handstand push-ups,Hero,ROPE
WILMOT,For Time,Six rounds\n50 Squats\n25 Ring dips,Hero,"GYM RINGS, BARBELL"
MOON,For Time,Seven rounds\n40 lbs dumbbell Hang split snatch; 10 reps Right arm\n15 ft Rope Climb; 1 ascent\n40 lbs dumbbell Hang split snatch; 10 reps Left arm\n15 ft Rope Climb; 1 ascent\nAlternate feet in the split snatch sets.,Hero,"DUMBBELL, ROPE"
SMALL,For Time,Three rounds\nRow 1000 meter\n50 Burpee\n50 Box jumps; 24in bo\nRun 800 meters,Hero,"ROWER, BOX"
MORRISON,For Time,50-40-30-20 and 10 rep rounds\nWall ball shots; 20 lbs ball\nBox jump; 24 inch box\nKettlebell swings; 1.5 pood,Hero,"BOX, MED BALL, KETTLEBELL"
MANION,For Time,Seven rounds\nRun 400 meter\n135 lbs Back squat; 29 reps,Hero,BARBELL
GATOR,For Time,Eight rounds of\n185 lbs Front squat; 5 reps\n26 Ring push-ups,Hero,"GYM RINGS, BARBELL"
BRADLEY,For Time,10 rounds\nSprint 100 meter\n10 Pull-up\nSprint 100 meter\n10 Burpee\nRest 30 seconds,Hero,PULL UP BAR
MEADOWS,For Time,20 Muscle-up\n25 Lowers from an inverted hang on the rings; slowly; with straight body and arm\n30 Ring handstand push-up\n35 Ring row\n40 Ring push-ups,Hero,"GYM RINGS, PULL UP BAR"
SANTIAGO,For Time,Seven rounds\n35 lbs Dumbbell hang squat clean; 18 reps\n18 Pull-ups\n135 lbs Power clean; 10 reps\n10 Handstand push-ups,Hero,"DUMBBELL, BARBELL, PULL UP BAR"
CARSE,For Time,21-18-15-12-9-6-3 reps of\n95 lbs Squat clean\nDouble-under\n185 lbs Deadlift\n24in Box jump\nBegin each rounds with a 50 meter Bear crawl.,Hero,"BARBELL, BOX"
BRADSHAW,For Time,10 rounds\n3 Handstand push-ups\n225 lbs Deadlift; 6 reps\n12 Pull-ups\n24 Double-unders,Hero,"SKIPPING ROPE, BARBELL, PULL UP BAR"
WHITE,For Time,Five rounds\n15ft Rope climb; 3 ascents\n10 Toes to bar 2\nWalking lunge steps with 45lb plate held overhead\nRun 400 meters,Hero,"PULL UP BAR, ROPE"
SANTORA,For Reps,Three rounds\n155 lbs Squat clean\n1 minute 20ft\nShuttle sprints (20ft forward + 20ft backwards = 1 rep\n1 minute 245 lbs Deadlift\n1 minute Burpee\n1 minute 155 lbs Jerk\n1 minute Rest 1 minute,Hero,BARBELL
WOOD,For Time,5 rounds\nRun 400 meter\n10 Burpee box jumps; 24in box\n95 lbs Sumo-deadlift high-pull; 10 rep\n95 lbs Thruster; 10 rep\nRest 1 minute,Hero,"BARBELL, BOX"
HIDALGO,For Time,Run 2 mile\nRest 2 minutes\n135 lbs Squat clean; 20 rep\n20 Box jump; 24in box\n20 Walking lunge steps with 45lb plate held overhead\n20 Box jump; 24in box\n135 lbs Squat clean; 20 rep\nRest 2 minutes\nRun 2 miles\nIf you've got a twenty lbs vest or body armor; wear it.,Hero,"BARBELL, BOX, VEST"
RICKY,AMRAP: 20 Min,10 Pull-up\n75 lbs dumbbell Deadlift; 5 rep\n135 lbs Push-press; 8 reps,Hero,"DUMBBELL, BARBELL, PULL UP BAR"
DAE HAN,For Time,Three rounds\nRun 800 meters with a 45 lbs barbel\n15 foot Rope climb; 3 ascent\n135 lbs Thruster; 12 reps,Hero,"BARBELL, ROPE"
DESFORGES,For Time,Five rounds\n225 lbs Deadlift; 12 reps\n20 Pull-ups\n135 lbs Clean and jerk; 12 reps\n20 Knees to elbows,Hero,"BARBELL, PULL UP BAR"
RAHOI,AMRAP: 12 Min,24 inch Box Jump; 12 reps\n95 lbs Thruster; 6 reps\n6 Bar-facing burpees,Hero,"BARBELL, BOX"
ZIMMERMAN,AMRAP: 25 Min,11 Chest-to-bar pull-ups\n2 Deadlifts; 315 lbss\n10 Handstand push-ups,Hero,"BARBELL, PULL UP BAR"
KLEPTO,For Time,Four rounds\n27 Box jumps; 24in box\n20 Burpees\n11 Squat cleans; 145 lbss,Hero,"BARBELL, BOX"
DEL,For Time,25 Burpees\nRun 400 meters with a 20 lbs medicine ball\n25 Weighted pull-ups with a 20 lbs dumbbell\nRun 400 meters with a 20 lbs medicine ball\n25 Handstand push-ups\nRun 400 meters with a 20 lbs medicine ball\n25 Chest-to-bar pull-ups\nRun 400 meters with a 20 lbs medicine ball\n25 Burpees,Hero,"DUMBBELL, PULL UP BAR, MED BALL"
PHEEZY,For Time,Three rounds\n165 lbs Front squat; 5 reps\n18 Pull-ups\n225 lbs Deadlift; 5 reps\n18 Toes-to-bar\n165 lbs Push jerk; 5 reps\n18 Hand-release push-ups,Hero,"PULL UP BAR, BARBELL"
