workoutName,workoutTime,workoutDetails,category
13.5,4 Min AMRAP,15 Thrusters 100/65 lbs\n15 Chest-to-Bar Pull Ups\nTime extends by 4 minutes for each 3 completed round,Open
12.1,7 Min AMRAP,Target Burpees,Open
12.2,10 Min AMRAP,30 Snatches 75/45 lbs\n30 Snatches 135/75 lbs\n30 Snatches 165/100 lbs\nMax Snatches 210/120 lbs,Open
12.3,18 Min AMRAP,15 Box Jumps 24/20?\n12 Push Presses 115/75\n9 Toes-to-Bars,Open
12.4,12 Min AMRAP,150 Wall Balls 20/14 lbs\n90 DUs\n30 Muscle Ups,Open
12.5,7 Min AMRAP,3-6-9-12-15-?\nThrusters 100/65 lbs\nChest-to-Bar Pull Ups,Open
11.1,10 Min AMRAP,30 DUs\n15 Power Snatches 75/55 lbs,Open
11.2,15 Min AMRAP,9 Deadlifts 155/100 lbs\n12 HR Push Ups\n15 Box Jumps 24/20?,Open
11.3,5 Min AMRAP,Squat Clean 165/110 lbs\nJerk 165/110 lbs,Open
11.4,10 Min AMRAP,60 Bar Facing Burpees\n30 Overhead Squats 120/90 lbs\n10 Muscle Ups,Open
11.5,20 Min AMRAP,5 Power Cleans 145/100 lbs\n10 Toes-to-Bars\n15 Wall Balls 20/14 lbs,Open
11.6,7 Min AMRAP,3-6-9-12-15-?\nThrusters 100/65 lbs\nChest-to-Bar Pull Ups,Open
